Distance,Hour 0,Hour 1,Hour 2,Hour 3,Hour 4,Hour 5,Hour 6,Hour 7,Hour 8,Hour 9,Hour 10,Hour 11,Hour 12,Hour 13,Hour 14,Hour 15,Hour 16,Hour 17,Hour 18,Hour 19,Hour 20,Hour 21,Hour 22,Hour 23
0,4.245977692999998,4.261954853,4.280441955,4.303530022999999,4.334862266000001,4.4186262659999995,4.54310716,4.6367485319999995,4.689534535,4.750770262999998,4.819129777,4.838073003000002,4.804654722000001,4.739466622999999,4.784351662999999,4.933705469999999,5.098951285999999,5.230044119999999,5.192628471000002,5.173278454000001,5.164494904999997,5.160728816000001,5.158032157999998,5.152940637999998
1,5.156995583,5.217780207999998,5.288291276000001,5.368400998000002,5.456779507,5.559938794,5.672606381999999,5.798130598,5.955341110000003,6.110249393999998,6.2489545510000015,6.396109984999999,6.641733319999998,6.9143300210000005,7.033140036999999,7.043452887999994,7.082826456000001,7.130871419999998,7.031430063,6.942183258,6.855901994,6.755388178999998,6.626948477000002,6.486092181
2,7.267974049999999,7.426027165999999,7.5778004920000015,7.715930214999995,7.837771562000005,7.943750169000002,8.038520284999997,8.144147381999998,8.296094327,8.565524301000002,8.899591026000001,9.171801114,9.35815985,9.496314365000003,9.621388775000002,9.689449015000001,9.675609409999998,9.49496766,9.347855744999999,9.238686075000002,9.090444665000001,8.954600601,8.797038517,8.629865602999999
3,9.815088650000002,9.901018285000003,9.973852655000002,10.044617915000003,10.117272799999995,10.189914145000001,10.26059706,10.316278524999998,10.418995055,10.778447634999997,11.153562265,11.478888234999994,11.659019279999997,11.743475225,11.826040364999992,11.947798405000004,12.041282574999999,11.761684585000001,11.46242757,11.240104855000002,11.10991553,10.925599765000001,10.743813879999998,10.58720118
4,11.93506797,11.94838457,11.965558524999999,11.982839445000007,11.998656869999996,12.00134397,12.028285700000009,12.153345869999999,12.369717634999997,12.738081709999987,13.107144605,13.426704324999998,13.723799134999995,14.017364680000004,14.245423204999994,14.409309395000003,14.357430885,13.967253479999995,13.616138549999995,13.311901149999999,13.053239734999998,12.867237359999999,12.695219734999998,12.500381545
5,13.668650534999998,13.683958655000003,13.680955230000002,13.654903254999997,13.646375385,13.716015925000006,13.885915100000002,14.08336022,14.325256074999997,14.724504610000007,15.121435294999996,15.549247230000002,15.933263850000003,16.302851075,16.654413385000012,16.93709472999999,16.861790940000002,16.503265915,16.09320615,15.62937448,15.224871014999998,14.836745939999997,14.492932074999997,14.216353565000002
6,15.339262604999998,15.285086110000007,15.259619010000002,15.307967744999996,15.430013734999998,15.620407565,15.829755190000007,16.065186995,16.425474225,16.89844564,17.36177477,17.803996650000006,18.196741470000003,18.566328470000002,18.932679869999987,19.24852366,19.2590504,19.02498945,18.627347530000005,18.13519155999999,17.623130320000005,17.184986309999996,16.75136466,16.287619634999995
7,16.873171420000002,16.91421715,17.002020169999998,17.16201891,17.388135790000007,17.64197079,17.911800000000003,18.20359432,18.6411945,19.114272660000005,19.587350379999997,20.044561610000002,20.456527870000002,20.829806980000004,21.199393889999993,21.439093649999997,21.491441679999994,21.361935479999996,21.06629678,20.608943559999993,20.006722819999997,19.516833070000008,19.086090740000003,18.656939370000018
8,18.60257421,18.729809730000003,18.957057440000007,19.223533420000006,19.49383716,19.764269530000007,20.039779550000002,20.400380959999996,20.85711841000001,21.330152260000006,21.803199410000005,22.256385510000005,22.69198418,23.093285459999997,23.46086707,23.6294592,23.65530780999999,23.466167679999995,23.234452859999998,22.89973174999999,22.40743279,21.86253499999999,21.41430073,20.799187071428587
9,20.534702479999993,20.803512270000002,21.073815479999997,21.34415732,21.6147255,21.885400579999992,22.222850409999996,22.602160899999998,23.073620260000002,23.54659706,24.01957361,24.46378250999999,24.900525819999995,25.335409120000005,25.663990139999992,25.79598489999999,25.728099970000013,25.493828589999993,25.243280300000006,24.94604011,24.61284446,24.17025834999999,23.73156344,
10,21.604105,21.874407,22.144712,22.415222,22.685898,22.956577,23.33322,23.720026,24.193,24.665974,25.138954000000002,25.578411,26.015156,26.451898999999997,26.747152000000003,26.874039,26.750304999999997,26.515558000000002,26.242309999999996,25.946007,25.632735999999998,25.303825,24.851677,
